no,name,category
186,한국광해광업공단,공공기관 / 공직유관단체
187,한국교육개발원,공공기관 / 공직유관단체
188,한국교육과정평가원,공공기관 / 공직유관단체
189,한국교육학술정보원,공공기관 / 공직유관단체
190,한국교통안전공단,공공기관 / 공직유관단체
191,한국교통연구원,공공기관 / 공직유관단체
192,한국국방연구원,공공기관 / 공직유관단체
193,한국국제교류재단,공공기관 / 공직유관단체
194,한국국제보건의료재단,공공기관 / 공직유관단체
195,한국국제협력단,공공기관 / 공직유관단체
196,한국국토정보공사,공공기관 / 공직유관단체
197,한국기상산업기술원,공공기관 / 공직유관단체
198,한국기술교육대학교,공공기관
199,한국나노기술원,공공기관 / 공직유관단체
200,한국남동발전(주),공공기관 / 공직유관단체
201,한국남부발전(주),공공기관 / 공직유관단체
202,한국노동연구원,공공기관 / 공직유관단체
203,한국노인인력개발원,공공기관 / 공직유관단체
204,한국농수산식품유통공사,공공기관 / 공직유관단체
205,한국농어촌공사,공공기관 / 공직유관단체
206,한국농업기술진흥원,공공기관 / 공직유관단체
207,한국농촌경제연구원,공공기관 / 공직유관단체
208,한국데이터산업진흥원,공공기관 / 공직유관단체
209,한국도로공사,공공기관 / 공직유관단체
210,한국도로공사서비스(주),공공기관
211,한국도로교통공단,공공기관
212,한국도박문제예방치유원,공공기관 / 공직유관단체
213,한국동서발전(주),공공기관 / 공직유관단체
214,한국등산·트레킹지원센터,공공기관
215,한국디자인진흥원,공공기관 / 공직유관단체
216,한국로봇산업진흥원,공공기관 / 공직유관단체
217,한국마사회,공공기관 / 공직유관단체
218,한국마약퇴치운동본부,공공기관 / 공직유관단체
219,한국무역보험공사,공공기관 / 공직유관단체
220,한국문학번역원,공공기관 / 공직유관단체
221,한국문화관광연구원,공공기관 / 공직유관단체
222,한국문화예술교육진흥원,공공기관 / 공직유관단체
223,한국문화예술위원회,공공기관 / 공직유관단체
224,한국문화정보원,공공기관 / 공직유관단체
225,한국문화진흥주식회사,공공기관 / 공직유관단체
226,한국물기술인증원,공공기관
227,한국발명진흥회,공공기관 / 공직유관단체
228,한국방송광고진흥공사,공공기관 / 공직유관단체
229,한국방송통신전파진흥원,공공기관 / 공직유관단체
230,한국법무보호복지공단,공공기관 / 공직유관단체
231,한국법제연구원,공공기관 / 공직유관단체
232,한국벤처투자,공공기관 / 공공기관 자회사
233,한국보건복지인재원,공공기관 / 공직유관단체
234,한국보건사회연구원,공공기관 / 공직유관단체
235,한국보건산업진흥원,공공기관 / 공직유관단체
236,한국보건의료연구원,공공기관 / 공직유관단체
237,한국보건의료인국가시험원,공공기관 / 공직유관단체
238,한국보육진흥원,공공기관 / 공직유관단체
239,한국보훈복지의료공단,공공기관 / 공직유관단체
240,한국부동산원,공공기관 / 공직유관단체
241,한국사학진흥재단,공공기관 / 공직유관단체
242,한국사회보장정보원,공공기관 / 공직유관단체
243,한국사회복지협의회,공공기관 / 공직유관단체
244,한국사회적기업진흥원,공공기관 / 공직유관단체
245,한국산림복지진흥원,공공기관 / 공직유관단체
246,한국산업기술기획평가원,공공기관 / 공직유관단체
247,한국산업기술시험원,공공기관 / 공직유관단체
248,한국산업기술진흥원,공공기관 / 공직유관단체
249,한국산업단지공단,공공기관 / 공직유관단체
250,한국산업안전보건공단,공공기관 / 공직유관단체
251,한국산업은행,공공기관 / 공직유관단체
252,한국산업인력공단,공공기관 / 공직유관단체
253,한국상하수도협회,공공기관 / 공직유관단체
254,한국생명존중희망재단,공공기관 / 공직유관단체
255,한국서부발전(주),공공기관 / 공직유관단체
256,한국석유공사,공공기관 / 공직유관단체
257,한국석유관리원,공공기관 / 공직유관단체
258,한국세라믹기술원,공공기관 / 공직유관단체
259,한국소방산업기술원,공공기관 / 공직유관단체
260,한국소비자원,공공기관 / 공직유관단체
261,한국수력원자력(주),공공기관 / 공직유관단체
262,한국수목원정원관리원,공공기관 / 공직유관단체
263,한국수산자원공단,공공기관 / 공직유관단체
264,한국수자원공사,공공기관 / 공직유관단체
265,한국수자원조사기술원,공공기관 / 공직유관단체
266,한국수출입은행,공공기관 / 공직유관단체
267,한국스포츠레저(주),공공기관 / 공공기관 자회사
268,한국승강기안전공단,공공기관 / 공직유관단체
269,한국식품산업클러스터진흥원,공공기관 / 공직유관단체
270,한국식품안전관리인증원,공공기관 / 공직유관단체
271,한국양성평등교육진흥원,공공기관 / 공직유관단체
272,한국어촌어항공단,공공기관 / 공직유관단체
273,한국언론진흥재단,공공기관 / 공직유관단체
274,한국에너지공단,공공기관 / 공직유관단체
275,한국에너지기술평가원,공공기관 / 공직유관단체
276,한국에너지정보문화재단,공공기관 / 공직유관단체
277,한국여성과학기술인육성재단,공공기관 / 공직유관단체
278,한국여성인권진흥원,공공기관 / 공직유관단체
279,한국여성정책연구원,공공기관 / 공직유관단체
280,한국연구재단,공공기관 / 공직유관단체
281,한국영상자료원,공공기관 / 공직유관단체
282,한국예술인복지재단,공공기관 / 공직유관단체
283,한국원산지정보원,공공기관 / 공직유관단체
284,한국원자력안전기술원,공공기관 / 공직유관단체
