no,name,category
365,(주)도시재생앵커제1호위탁관리부동산투자회사,공공기관 자회사
366,(주)동진,공공기관 자회사
367,(주)로드파크,공공기관 자회사
368,(주)모이어,공공기관 자회사
369,(주)반석,공공기관 자회사
370,(주)베스트비투비,공공기관 자회사
371,(주)부산데이터복구서버유에스비외장하드복구데이터세이브,공공기관 자회사
372,(주)부산항보안공사,공공기관 자회사
373,(주)비에프이커머스,공공기관 자회사
374,(주)산단재생1호서대구지식산업센터위탁관리부동산투자회사,공공기관 자회사
375,(주)상록골프앤리조트,공공기관 자회사
376,(주)새누리,공공기관 자회사
377,(주)새연에스엔에스,공공기관 자회사
378,(주)서울창동창업문화도시재생위탁관리부동산투자회사,공공기관 자회사
379,(주)선메트,공공기관 자회사
380,(주)섬김컴퍼니,공공기관 자회사
381,(주)셀로긴,공공기관 자회사
382,(주)소리안,공공기관 자회사
383,(주)스노파,공공기관 자회사
384,(주)시누스,공공기관 자회사
385,(주)쓰리케이솔루션,공공기관 자회사
386,(주)씽크리에이티브,공공기관 자회사
387,(주)아이디어하이,공공기관 자회사
388,(주)아이컨택트,공공기관 자회사
389,(주)안온,공공기관 자회사
390,(주)애니닥터헬스케어,공공기관 자회사
391,(주)애드피디,공공기관 자회사
392,(주)앨리스에프엑스,공공기관 자회사
393,(주)에스비하이텍,공공기관 자회사
394,(주)에스앤유에이치벤처,공공기관 자회사
395,(주)에스엠하이텍,공공기관 자회사
396,"(주)에스피아이(SPICO.,LTD.)",공공기관 자회사
397,(주)엑스젠테크놀러지,공공기관 자회사
398,(주)엔보이비젼,공공기관 자회사
399,(주)엔젤스포츠,공공기관 자회사
400,(주)엘에이치이앤에스,공공기관 자회사
401,(주)엠오엠티,공공기관 자회사
402,(주)연구개발특구에프엔에스,공공기관 자회사
403,(주)예울에프엠씨,공공기관 자회사
404,(주)오승이에스,공공기관 자회사
405,(주)왓스업,공공기관 자회사
406,(주)우프컴퍼니,공공기관 자회사
407,(주)육일침장,공공기관 자회사
408,(주)제이에스테크,공공기관 자회사
409,(주)제이엘디앤아이,공공기관 자회사
410,(주)제인스,공공기관 자회사
411,(주)중소벤처기업인증원,공공기관 자회사
412,(주)지이테크,공공기관 자회사
413,(주)지이티,공공기관 자회사
414,(주)쵸이스맨파워,공공기관 자회사
415,(주)케이아이비보험중개,공공기관 자회사
416,(주)케이알앤씨,공공기관 자회사
417,(주)케이에스티정보통신,공공기관 자회사
418,(주)케이탑뷰티,공공기관 자회사
419,(주)코람코주택도시기금위탁관리부동산투자회사,공공기관 자회사
420,(주)코베리,공공기관 자회사
421,(주)코아에이스,공공기관 자회사
422,(주)코웍스,공공기관 자회사
423,(주)키콕스파트너스,공공기관 자회사
424,(주)킨스파트너스,공공기관 자회사
425,(주)트로젝트,공공기관 자회사
426,(주)파워젠,공공기관 자회사
427,(주)포이파트너스,공공기관 자회사
428,(주)퓨젼스포츠코리아,공공기관 자회사
429,(주)하이원추추파크,공공기관 자회사
430,(주)하이원파트너스,공공기관 자회사
431,(주)한국중소벤처기업유통원,공공기관 자회사
432,(주)한몽에너지,공공기관 자회사
433,(주)한빛씨에스,공공기관 자회사
434,(주)핸섬피쉬,공공기관 자회사
435,(주)햇살유통,공공기관 자회사
436,(주)홈디,공공기관 자회사
437,(주)휴,공공기관 자회사
438,(주)희광에너지,공공기관 자회사
439,2024딥다이브파트너스사모투자합자회사,공공기관 자회사
440,2025IBKVC-대신넥스트밸류업펀드,공공기관 자회사
441,500코리아III투자조합,공공기관 자회사
442,ANKORE&PHoldingsCorp.,공공기관 자회사
443,ASM-BGInvesticiiAD,공공기관 자회사
444,"B2BLOGISTICS(BUSANBARCELONAHUB), S.L.",공공기관 자회사
445,BANCOKDBDOBRASILS.A.,공공기관 자회사
446,BusanPortAuthorityB.V.,공공기관 자회사
447,DKIGrowingStar3호투자조합,공공기관 자회사
448,DSC유망서비스산업펀드,공공기관 자회사
449,DanaPetroleumLtd.,공공기관 자회사
450,EWP(Barbados)1SRL,공공기관 자회사
451,"EWPAmerica, Inc.",공공기관 자회사
452,EWPAustraliaPtyLtd,공공기관 자회사
453,EWPBylongPtyLimited,공공기관 자회사
454,ErmaniLtd.,공공기관 자회사
455,GLOBALKOMSCODAEWOOLLC.,공공기관 자회사
456,HarvestOperationsCorp,공공기관 자회사
457,IBK-스톤브릿지라이징2호투자조합,공공기관 자회사
458,IBK금융그룹미래성장동력투자조합,공공기관 자회사
459,IBK금융그룹창업기업일자리창출투자조합,공공기관 자회사
460,IBK금융그룹크라우드펀딩매칭투자조합,공공기관 자회사
461,IBK미얀마은행,공공기관 자회사
462,IBK신용정보㈜,공공기관 자회사
463,IBK연금보험㈜,공공기관 자회사
464,IBK인도네시아은행,공공기관 자회사
465,IBK자산운용㈜,공공기관 자회사
466,IBK창공비상1호투자조합,공공기관 자회사
467,IBK창공비상2호투자조합,공공기관 자회사
468,IBK투자증권㈜,공공기관 자회사
469,IBK폴란드은행,공공기관 자회사
470,IPKoreaCenterInc,공공기관 자회사
471,IncheonAirportPhilippinesCorporation,공공기관 자회사
472,IncheonKoreaforAirportServicesCompanyS.P.C,공공기관 자회사
473,JSCKDBBANKUZBEKISTAN,공공기관 자회사
474,JSCNenskraHydro,공공기관 자회사
475,KADOCLtd.,공공기관 자회사
476,KAPowerLimited,공공기관 자회사
477,KDBASIALIMITED,공공기관 자회사
478,KDBBANKEUROPELIMITED,공공기관 자회사
479,KDBC공동투자사모투자합자회사,공공기관 자회사
480,KDBIRELANDDESIGNATEDACTIVITYCOMPANY,공공기관 자회사
481,"KDBOCCASIOII, L.P.",공공기관 자회사
482,KDBSILICONVALLEYLLC,공공기관 자회사
483,"KDBSynergy, L.P.",공공기관 자회사
484,KDSHydroPte. Ltd.,공공기관 자회사
485,KEPCOKPSPhilippinesCorp.,공공기관 자회사
486,"KEPCOKPSSouthAfricaPty., Ltd.",공공기관 자회사
487,KG-SEAGPCompanyLimited,공공기관 자회사
488,KGKruengManeLtd.,공공기관 자회사
489,KGMozambiqueLtd.,공공기관 자회사
490,KHNPCanadaEnergyLtd.,공공기관 자회사
491,KHNPChileSpA,공공기관 자회사
492,KHNPUSALLC,공공기관 자회사
493,KINDUSALLC,공공기관 자회사
494,KNFCanadaEnergyLtd.,공공기관 자회사
495,KNOCEaglefordCorp.,공공기관 자회사
496,KNOCKazB.V.,공공기관 자회사
497,KNOCNigerianEastOilCompanyLtd.,공공기관 자회사
498,KNOCNigerianWestOilCompanyLtd.,공공기관 자회사
499,KNOCSumatraLtd.,공공기관 자회사
500,KNOCTradingSingapore.Pte.Ltd,공공기관 자회사
501,KNOCYemenLtd.,공공기관 자회사
502,KOAKPowerLimited,공공기관 자회사
503,KOBCCONTAINERLEASINGNO. 1LIMITED,공공기관 자회사
504,KOBCCONTAINERLEASINGNO. 2LIMITED,공공기관 자회사
505,KOBCCONTAINERLEASINGNO. 3LIMITED,공공기관 자회사
506,KOBCUSALLC,공공기관 자회사
507,"KOENBylongPty., Ltd.",공공기관 자회사
508,KOFPI.PARAGUAY.S.A,공공기관 자회사
509,KOGAMEXInvestmentManzanilloB.V.,공공기관 자회사
510,KOGASAkkasB.V.,공공기관 자회사
511,KOGASAustraliaPty. Ltd.,공공기관 자회사
512,KOGASBadraB.V.,공공기관 자회사
513,KOGASCanadaEnergyLtd.,공공기관 자회사
514,KOGASCyprusLtd.,공공기관 자회사
515,KOGASInternationalPte. Ltd.,공공기관 자회사
516,KOGASIraqB.V.,공공기관 자회사
517,KOGASMansuriyaB.V.,공공기관 자회사
518,KOGASMozambiqueLda.,공공기관 자회사
519,KOGASPreludePty. Ltd.,공공기관 자회사
520,KOLATSpA,공공기관 자회사
521,"KOMEX-GAS, S. deR. L. deC.V.(주3)",공공기관 자회사
522,KOMIPOAmericaInc.,공공기관 자회사
523,KOMIPOAustraliaPtyLtd.,공공기관 자회사
524,KOMIPOBylongPtyLtd,공공기관 자회사
525,KOMIPOEuropeB.V.,공공기관 자회사
526,KOMIPOGlobalPteLtd.,공공기관 자회사
527,KOMIPOVanPhongPowerServiceLLC,공공기관 자회사
528,KORESCANADACorp.,공공기관 자회사
529,"KOSEPAustraliaPty.,Ltd.",공공기관 자회사
530,"KOSPOAustraliaPty., Ltd.",공공기관 자회사
531,"KOSPOBylongPty., Ltd.",공공기관 자회사
532,KOSPOChileSpA,공공기관 자회사
533,KOSPOJORDANL.L.C.,공공기관 자회사
534,KOSPOUSAInc.,공공기관 자회사
535,"KOWEPOAustraliaPty.,Ltd.",공공기관 자회사
536,"KOWEPOBylongPty.,Ltd",공공기관 자회사
537,KOWEPOEuropeB.V.,공공기관 자회사
538,KOWEPOHoldingLimited,공공기관 자회사
539,KOWEPOInternationalCorporation,공공기관 자회사
540,KOWEPOLaoInternational,공공기관 자회사
541,KRCThailand. Co.Ltd,공공기관 자회사
542,"KTLChinaCo.,Ltd",공공기관 자회사
543,KVICASIAPTELTD,공공기관 자회사
544,KVICSILICONVALLEYInc,공공기관 자회사
545,KoFC-BKPioneerChamp2010-13호투자조합,공공기관 자회사
546,KoFC-KVIC일자리창출펀드2호,공공기관 자회사
547,KoreaRasLaffanLNGLtd.(주1),공공기관 자회사
548,KoreanBoleoCorp,공공기관 자회사
549,KoresAustraliaPtyLtd,공공기관 자회사
550,"LHPRIMORYE, LLC",공공기관 자회사
551,LSGHydroPowerLtd.,공공기관 자회사
552,MiraPowerLimited,공공기관 자회사
553,"NepalWater&EnergyDevelopmentCompanyPty.,Ltd.",공공기관 자회사
554,PT. EWPIndonesia,공공기관 자회사
555,PT. KOMIPOEnergyIndonesia,공공기관 자회사
556,PT. KOMIPOPembangkitanJawaBali,공공기관 자회사
557,PT. MitraIncheonIndonesia,공공기관 자회사
558,PT. koreaEnergyIndonesia,공공기관 자회사
559,PTHasangOperationandMaintenance,공공기관 자회사
560,PTKDBTIFAFINANCETBK,공공기관 자회사
561,PTKarianWaterServices,공공기관 자회사
562,PatrindO&M(Private)Limited,공공기관 자회사
563,RESTechnologyAD,공공기관 자회사
564,SLI소재부품투자펀드2014-1호,공공기관 자회사
565,TinaHydropowerLimited,공공기관 자회사
566,㈜ 경기리츠공공임대제1호위탁관리부동산투자회사,공공기관 자회사
567,㈜ 엔에이치에프제16호공공임대위탁관리부동산투자회사,공공기관 자회사
568,㈜ 코엔서비스,공공기관 자회사
569,㈜IBK벤처투자,공공기관 자회사
570,㈜IBK서비스,공공기관 자회사
571,㈜IBK시스템,공공기관 자회사
572,㈜IBK저축은행,공공기관 자회사
573,㈜IBK캐피탈,공공기관 자회사
574,㈜국민행복주택제1호위탁관리부동산투자회사,공공기관 자회사
575,㈜국민행복주택제2호위탁관리부동산투자회사,공공기관 자회사
576,㈜뉴스테이허브제1호위탁관리부동산투자회사,공공기관 자회사
577,㈜뉴스테이허브제2호위탁관리부동산투자회사,공공기관 자회사
578,㈜뉴스테이허브제3호위탁관리부동산투자회사,공공기관 자회사
579,㈜대한제1호뉴스테이위탁관리부동산투자회사,공공기관 자회사
580,㈜동탄2대우코크렙뉴스테이기업형임대위탁관리부동산투자회사,공공기관 자회사
581,㈜민간임대허브제4호위탁관리부동산투자회사,공공기관 자회사
582,㈜민간임대허브제5호위탁관리부동산투자회사,공공기관 자회사
583,㈜민간임대허브제6호위탁관리부동산투자회사,공공기관 자회사
584,㈜민간임대허브제7호위탁관리부동산투자회사,공공기관 자회사
